Source_Side,Status,Index_Entry,CIDOC_Type,Manual_Name,Manual_QID,Match_Type,File_Code,Extraction_Reason,Normalized_Name
Index,Unmatched (Index),"Breughel, Abram",E21 Person,,,,B,Unmatched Index Entry,Abram Breughel
Index,Unmatched (Index),"Breughel, Velvet",E21 Person,,,,B,Unmatched Index Entry,Velvet Breughel
Index,Unmatched (Index),"Breuil, Toussaint du",E21 Person,,,,B,Unmatched Index Entry,Toussaint du Breuil
Index,Unmatched (Index),"Breval, John",E21 Person,,,,B,Unmatched Index Entry,John Breval
Index,Unmatched (Index),"Brienne, Lomenie de",E21 Person,,,,B,Unmatched Index Entry,Lomenie de Brienne
Index,Unmatched (Index),"Brosses, Président Charles De",E21 Person,,,,B,Unmatched Index Entry,Charles De Brosses
Index,Unmatched (Index),"Brugiori, Domenico",E21 Person,,,,B,Unmatched Index Entry,Domenico Brugiori
Index,Unmatched (Index),"Brusasorci, Felice",E21 Person,,,,B,Unmatched Index Entry,Felice Brusasorci
Index,Unmatched (Index),"Brydges, Grey",E21 Person,,,,B,Unmatched Index Entry,Grey Brydges
Index,Unmatched (Index),"Brühl, Count",E21 Person,,,,B,Unmatched Index Entry,Brühl
Index,Unmatched (Index),"Buckingham, Charles Villiers, Duke of",E21 Person,,,,B,Unmatched Index Entry,"Charles Villiers, of Buckingham"
Index,Unmatched (Index),"Buckingham, John Sheffield, Duke of",E21 Person,,,,B,Unmatched Index Entry,"John Sheffield, of Buckingham"
Index,Unmatched (Index),"Burlington, Lord",E21 Person,,,,B,Unmatched Index Entry,Burlington
Index,Unmatched (Index),"Byng, Admiral",E21 Person,,,,B,Unmatched Index Entry,Admiral Byng
Index,Unmatched (Index),"Cadani, Stefano",E21 Person,,,,C,Unmatched Index Entry,Stefano Cadani
Index,Unmatched (Index),Caime,E21 Person,,,,C,Unmatched Index Entry,Caime
Index,Unmatched (Index),"Camerata, Giuseppe",E21 Person,,,,C,Unmatched Index Entry,Giuseppe Camerata
Index,Unmatched (Index),"Camerino, Giovanni Angelo da",E21 Person,,,,C,Unmatched Index Entry,Giovanni Angelo da Camerino
Index,Unmatched (Index),"Canal, Gerolamo",E21 Person,,,,C,Unmatched Index Entry,Gerolamo Canal
Index,Unmatched (Index),"Canale, Procuratore",E21 Person,,,,C,Unmatched Index Entry,Procuratore Canale
Index,Unmatched (Index),Canaletto,E21 Person,,,,C,Unmatched Index Entry,Canaletto
Index,Unmatched (Index),Candiani,E21 Person,,,,C,Unmatched Index Entry,Candiani
Index,Unmatched (Index),Canons (Duke of Chandos),E53 Place,,,,C,Unmatched Index Entry,Canons
Index,Unmatched (Index),"Caprara, Marshal",E21 Person,,,,C,Unmatched Index Entry,Marshal Caprara
Index,Unmatched (Index),Capuchins,E74 Group,,,,C,Unmatched Index Entry,Capuchins
Index,Unmatched (Index),"Caraboli, Giacomo",E21 Person,,,,C,Unmatched Index Entry,Giacomo Caraboli
Index,Unmatched (Index),"Carandini, Count Camillo",E21 Person,,,,C,Unmatched Index Entry,Camillo Carandini
Index,Unmatched (Index),"Carandini, Marchesa Elisa",E22 Man-Made Object,,,,C,Unmatched Index Entry,"Carandini, Marchesa Elisa"
Index,Unmatched (Index),"Caravaggio, Michelangelo da",E21 Person,,,,C,Unmatched Index Entry,Michelangelo da Caravaggio
Index,Unmatched (Index),"Carlisle, Earl of",E21 Person,,,,C,Unmatched Index Entry,of Carlisle
Index,Unmatched (Index),"Carlone, Gianandrea",E21 Person,,,,C,Unmatched Index Entry,Gianandrea Carlone
Index,Unmatched (Index),"Carpegna, Count",E21 Person,,,,C,Unmatched Index Entry,Carpegna
Index,Unmatched (Index),"Carpio, Marchese Del",E22 Man-Made Object,,,,C,Unmatched Index Entry,"Carpio, Marchese Del"
Index,Unmatched (Index),"Carpioni, Giulio",E21 Person,,,,C,Unmatched Index Entry,Giulio Carpioni
Index,Unmatched (Index),"Cars, Laurence",E21 Person,,,,C,Unmatched Index Entry,Laurence Cars
Index,Unmatched (Index),"Casanova de Seingalt, Jacques",E21 Person,,,,C,Unmatched Index Entry,Jacques Casanova de Seingalt
Index,Unmatched (Index),"Castiglione, Giovanni Benedetto",E21 Person,,,,C,Unmatched Index Entry,Giovanni Benedetto Castiglione
Index,Unmatched (Index),"Castro, First and Second Wars of",E5 Event,,,,C,Unmatched Index Entry,"Castro, First and Second Wars of"
Index,Unmatched (Index),"Castro, Jacomo di",E21 Person,,,,C,Unmatched Index Entry,Jacomo di Castro
Index,Unmatched (Index),Catherine the Great of Russia,E21 Person,,,,C,Unmatched Index Entry,Catherine the Great of Russia
Index,Unmatched (Index),"Cattaneo, Giovanni de",E21 Person,,,,C,Unmatched Index Entry,Giovanni de Cattaneo
Index,Unmatched (Index),"Cavagna, Giampaolo",E21 Person,,,,C,Unmatched Index Entry,Giampaolo Cavagna
Index,Unmatched (Index),"Caylus, Comte de",E21 Person,,,,C,Unmatched Index Entry,Comte de Caylus
Index,Unmatched (Index),"Celle, Georg Wilhelm Duke of",E21 Person,,,,C,Unmatched Index Entry,Georg Wilhelm of Celle
Index,Unmatched (Index),"Cerato, Abate",E21 Person,,,,C,Unmatched Index Entry,Cerato
Index,Unmatched (Index),"Ceva, Cardinal",E21 Person,,,,C,Unmatched Index Entry,Ceva
Index,Unmatched (Index),"Chandos, Grey Brydges, 5th Lord",E21 Person,,,,C,Unmatched Index Entry,"Grey Brydges, 5th Chandos"
Index,Unmatched (Index),"Chandos, James Brydges, 1st Duke of",E21 Person,,,,C,Unmatched Index Entry,"James Brydges, 1st of Chandos"
Index,Unmatched (Index),"Chantelou, Paul-Fréart de",E21 Person,,,,C,Unmatched Index Entry,Paul-Fréart de Chantelou
Index,Unmatched (Index),"Chardin, Jean Baptiste Siméon",E21 Person,,,,C,Unmatched Index Entry,Jean Baptiste Siméon Chardin
Index,Unmatched (Index),Charles I of England,E21 Person,,,,C,Unmatched Index Entry,Charles I of England
Index,Unmatched (Index),Charles II of England,E21 Person,,,,C,Unmatched Index Entry,Charles II of England
Index,Unmatched (Index),Charles II of Spain,E53 Place,,,,C,Unmatched Index Entry,Charles II of Spain
Index,Unmatched (Index),"Charles V, Holy Roman Emperor",E21 Person,,,,C,Unmatched Index Entry,Holy Roman Emperor Charles V
Index,Unmatched (Index),Charles XII of Sweden,E21 Person,,,,C,Unmatched Index Entry,Charles XII of Sweden
Index,Unmatched (Index),"Chi soffre, speri",E21 Person,,,,C,Unmatched Index Entry,speri Chi soffre
Index,Unmatched (Index),"Chiari, Giuseppe and Tommaso",E21 Person,,,,C,Unmatched Index Entry,Giuseppe and Tommaso Chiari
Index,Unmatched (Index),"Chiarini, Marcantonio",E21 Person,,,,C,Unmatched Index Entry,Marcantonio Chiarini
Index,Unmatched (Index),"Chigi, Agostino 'il Magnifico'",E21 Person,,,,C,Unmatched Index Entry,Agostino 'il Magnifico' Chigi
Index,Unmatched (Index),"Chigi, Agostino (nephew to Alexander VII)",E21 Person,,,,C,Unmatched Index Entry,Agostino Chigi
Index,Unmatched (Index),"Chigi, Cardinal Flavio (nephew to Pope Alexander VII)",E21 Person,,,,C,Unmatched Index Entry,Flavio Chigi
Index,Unmatched (Index),"Chigi, Don Mario (brother to Pope Alexander VII)",E21 Person,,,,C,Unmatched Index Entry,Mario Chigi
Index,Unmatched (Index),"Chigi, Fabio (Pope Alexander VII)",E21 Person,,,,C,Unmatched Index Entry,Fabio Chigi
Index,Unmatched (Index),"Christina, Queen of Sweden",E21 Person,,,,C,Unmatched Index Entry,of Sweden Christina
Index,Unmatched (Index),Churches,E22 Man-Made Object,,,,C,Unmatched Index Entry,Churches
Index,Unmatched (Index),Churches of religious orders,E22 Man-Made Object,,,,C,Unmatched Index Entry,Churches of religious orders
Index,Unmatched (Index),Cibo palace,E22 Man-Made Object,,,,C,Unmatched Index Entry,Cibo palace
Index,Unmatched (Index),"Cimaroli, Giovan Battista",E21 Person,,,,C,Unmatched Index Entry,Giovan Battista Cimaroli
Index,Unmatched (Index),Cinelli,E21 Person,,,,C,Unmatched Index Entry,Cinelli
Index,Unmatched (Index),"Città di Castello, Matteo da",E21 Person,,,,C,Unmatched Index Entry,Matteo da Città di Castello
Index,Unmatched (Index),"Clemens August, Archbishop-Elector of Cologne",E22 Man-Made Object,,,,C,Unmatched Index Entry,"Clemens August, Archbishop-Elector of Cologne"
Index,Unmatched (Index),"Clement VIII, Pope",E21 Person,,,,C,Unmatched Index Entry,Clement VIII
Index,Unmatched (Index),"Clement XII, Pope",E21 Person,,,,C,Unmatched Index Entry,Clement XII
Index,Unmatched (Index),"Clement XIII, Pope",E21 Person,,,,C,Unmatched Index Entry,Clement XIII
Index,Unmatched (Index),"Clement, Abbé",E21 Person,,,,C,Unmatched Index Entry,Abbé Clement
Index,Unmatched (Index),Clerici Palace,E22 Man-Made Object,,,,C,Unmatched Index Entry,Clerici Palace
Index,Unmatched (Index),"Clostermann, John",E21 Person,,,,C,Unmatched Index Entry,John Clostermann
Index,Unmatched (Index),"Coke, Mr",E21 Person,,,,C,Unmatched Index Entry,Coke
Index,Unmatched (Index),"Cole, Christian",E21 Person,,,,C,Unmatched Index Entry,Christian Cole
Index,Unmatched (Index),Colonna palace,E22 Man-Made Object,,,,C,Unmatched Index Entry,Colonna palace
Index,Unmatched (Index),"Colonna, Don Giuliano",E21 Person,,,,C,Unmatched Index Entry,Giuliano Colonna
Index,Unmatched (Index),"Colonna, Filippo",E21 Person,,,,C,Unmatched Index Entry,Filippo Colonna
Index,Unmatched (Index),"Colonna, Marc'Antonio",E21 Person,,,,C,Unmatched Index Entry,Marc'Antonio Colonna
Index,Unmatched (Index),"Colonna, Prince Francesco",E21 Person,,,,C,Unmatched Index Entry,Francesco Colonna
Index,Unmatched (Index),Competitions,E28 Conceptual Object,,,,C,Unmatched Index Entry,Competitions
Index,Unmatched (Index),"Concina, Padre Daniele",E21 Person,,,,C,Unmatched Index Entry,Padre Daniele Concina
Index,Unmatched (Index),Congregazione dei Virtuosi,E74 Group,,,,C,Unmatched Index Entry,Congregazione dei Virtuosi
Index,Unmatched (Index),Contarini family,E74 Group,,,,C,Unmatched Index Entry,Contarini family
Index,Unmatched (Index),Contarini villa,E22 Man-Made Object,,,,C,Unmatched Index Entry,Contarini villa
Index,Unmatched (Index),"Contarini, Pietro",E21 Person,,,,C,Unmatched Index Entry,Pietro Contarini
Index,Unmatched (Index),"Conti, Antonio",E21 Person,,,,C,Unmatched Index Entry,Antonio Conti
Index,Unmatched (Index),"Conti, Michaelangelo (Pope Innocent XIII)",E21 Person,,,,C,Unmatched Index Entry,Michaelangelo Conti
Index,Unmatched (Index),Contracts,E28 Conceptual Object,,,,C,Unmatched Index Entry,Contracts
Index,Unmatched (Index),Corner family,E74 Group,,,,C,Unmatched Index Entry,Corner family
Index,Unmatched (Index),Correggio,E21 Person,,,,C,Unmatched Index Entry,Correggio
Index,Unmatched (Index),Corsini family,E74 Group,,,,C,Unmatched Index Entry,Corsini family
Index,Unmatched (Index),"Corsini, Lorenzo (Pope Clement XII)",E21 Person,,,,C,Unmatched Index Entry,Lorenzo Corsini
Index,Unmatched (Index),"Corsini, Marchese Filippo",E22 Man-Made Object,,,,C,Unmatched Index Entry,"Corsini, Marchese Filippo"
Index,Unmatched (Index),"Cortese, Giacomo and Guglielmo",E21 Person,,,,C,Unmatched Index Entry,Giacomo and Guglielmo Cortese
Index,Unmatched (Index),"Costaguti, Marchese",E22 Man-Made Object,,,,C,Unmatched Index Entry,"Costaguti, Marchese"
Index,Unmatched (Index),"Courtois, Jacques and Guillaume",E21 Person,,,,C,Unmatched Index Entry,Jacques and Guillaume Courtois
Index,Unmatched (Index),Cremonese,E74 Group,,,,C,Unmatched Index Entry,Cremonese
Index,Unmatched (Index),"Crequi, Duc de",E21 Person,,,,C,Unmatched Index Entry,Duc de Crequi
Index,Unmatched (Index),"Crescenzi, Pietro Paolo",E21 Person,,,,C,Unmatched Index Entry,Pietro Paolo Crescenzi
Index,Unmatched (Index),"Critics, Roman",E21 Person,,,,C,Unmatched Index Entry,Roman Critics
Index,Unmatched (Index),"Croissy, M. de",E21 Person,,,,C,Unmatched Index Entry,M. de Croissy
Index,Unmatched (Index),"Curli, Girolamo",E21 Person,,,,C,Unmatched Index Entry,Girolamo Curli
Index,Unmatched (Index),Customs duty on pictures,E28 Conceptual Object,,,,C,Unmatched Index Entry,Customs duty on pictures
Index,Unmatched (Index),Dante,E21 Person,,,,D,Unmatched Index Entry,Dante
Index,Unmatched (Index),"Dartmouth, Lord",E21 Person,,,,D,Unmatched Index Entry,Dartmouth
Index,Unmatched (Index),"Dati, Carlo",E21 Person,,,,D,Unmatched Index Entry,Carlo Dati
Index,Unmatched (Index),"Daun, Count",E21 Person,,,,D,Unmatched Index Entry,Daun
Index,Unmatched (Index),"Devonshire, Duke of",E21 Person,,,,D,Unmatched Index Entry,of Devonshire
Index,Unmatched (Index),"Dietrich, Christian",E21 Person,,,,D,Unmatched Index Entry,Christian Dietrich
Index,Unmatched (Index),Dolfin family,E74 Group,,,,D,Unmatched Index Entry,Dolfin family
Index,Unmatched (Index),"Dolfin, Daniele (Archbishop of Udine)",E22 Man-Made Object,,,,D,Unmatched Index Entry,"Dolfin, Daniele"
