Source_Side,Status,Index_Entry,CIDOC_Type,Manual_Name,Manual_QID,Match_Type,File_Code,Extraction_Reason
Index,Unmatched (Index),Charles II of England,E21 Person,,,,C,Unmatched Index Entry
Index,Unmatched (Index),Charles II of Spain,E53 Place,,,,C,Unmatched Index Entry
Index,Unmatched (Index),"Charles V, Holy Roman Emperor",E21 Person,,,,C,Unmatched Index Entry
Index,Unmatched (Index),Charles XII of Sweden,E21 Person,,,,C,Unmatched Index Entry
Index,Unmatched (Index),"Chi soffre, speri",E21 Person,,,,C,Unmatched Index Entry
Index,Unmatched (Index),"Chiari, Giuseppe and Tommaso",E21 Person,,,,C,Unmatched Index Entry
Index,Unmatched (Index),"Chiarini, Marcantonio",E21 Person,,,,C,Unmatched Index Entry
Index,Unmatched (Index),"Chigi, Agostino 'il Magnifico'",E21 Person,,,,C,Unmatched Index Entry
Index,Unmatched (Index),"Chigi, Agostino (nephew to Alexander VII)",E21 Person,,,,C,Unmatched Index Entry
Index,Unmatched (Index),"Chigi, Cardinal Flavio (nephew to Pope Alexander VII)",E21 Person,,,,C,Unmatched Index Entry
Index,Unmatched (Index),"Chigi, Don Mario (brother to Pope Alexander VII)",E21 Person,,,,C,Unmatched Index Entry
Index,Unmatched (Index),"Chigi, Fabio (Pope Alexander VII)",E21 Person,,,,C,Unmatched Index Entry
Index,Unmatched (Index),"Christina, Queen of Sweden",E21 Person,,,,C,Unmatched Index Entry
Index,Unmatched (Index),Churches,E22 Man-Made Object,,,,C,Unmatched Index Entry
Index,Unmatched (Index),Churches of religious orders,E22 Man-Made Object,,,,C,Unmatched Index Entry
Index,Unmatched (Index),Cibo palace,E22 Man-Made Object,,,,C,Unmatched Index Entry
Index,Unmatched (Index),"Cimaroli, Giovan Battista",E21 Person,,,,C,Unmatched Index Entry
Index,Unmatched (Index),Cinelli,E21 Person,,,,C,Unmatched Index Entry
Index,Unmatched (Index),"Città di Castello, Matteo da",E21 Person,,,,C,Unmatched Index Entry
Index,Unmatched (Index),"Clemens August, Archbishop-Elector of Cologne",E22 Man-Made Object,,,,C,Unmatched Index Entry
Index,Unmatched (Index),"Clement VIII, Pope",E21 Person,,,,C,Unmatched Index Entry
Index,Unmatched (Index),"Clement XII, Pope",E21 Person,,,,C,Unmatched Index Entry
Index,Unmatched (Index),"Clement XIII, Pope",E21 Person,,,,C,Unmatched Index Entry
Index,Unmatched (Index),"Clement, Abbé",E21 Person,,,,C,Unmatched Index Entry
Index,Unmatched (Index),Clerici Palace,E22 Man-Made Object,,,,C,Unmatched Index Entry
Index,Unmatched (Index),"Clostermann, John",E21 Person,,,,C,Unmatched Index Entry
Index,Unmatched (Index),"Coke, Mr",E21 Person,,,,C,Unmatched Index Entry
Index,Unmatched (Index),"Cole, Christian",E21 Person,,,,C,Unmatched Index Entry
Index,Unmatched (Index),Colonna palace,E22 Man-Made Object,,,,C,Unmatched Index Entry
Index,Unmatched (Index),"Colonna, Don Giuliano",E21 Person,,,,C,Unmatched Index Entry
Index,Unmatched (Index),"Colonna, Filippo",E21 Person,,,,C,Unmatched Index Entry
Index,Unmatched (Index),"Colonna, Marc'Antonio",E21 Person,,,,C,Unmatched Index Entry
Index,Unmatched (Index),"Colonna, Prince Francesco",E21 Person,,,,C,Unmatched Index Entry
Index,Unmatched (Index),Competitions,E28 Conceptual Object,,,,C,Unmatched Index Entry
Index,Unmatched (Index),"Concina, Padre Daniele",E21 Person,,,,C,Unmatched Index Entry
Index,Unmatched (Index),Congregazione dei Virtuosi,E74 Group,,,,C,Unmatched Index Entry
Index,Unmatched (Index),Contarini family,E74 Group,,,,C,Unmatched Index Entry
Index,Unmatched (Index),Contarini villa,E22 Man-Made Object,,,,C,Unmatched Index Entry
Index,Unmatched (Index),"Contarini, Pietro",E21 Person,,,,C,Unmatched Index Entry
Index,Unmatched (Index),"Conti, Antonio",E21 Person,,,,C,Unmatched Index Entry
Index,Unmatched (Index),"Conti, Michaelangelo (Pope Innocent XIII)",E21 Person,,,,C,Unmatched Index Entry
Index,Unmatched (Index),Contracts,E28 Conceptual Object,,,,C,Unmatched Index Entry
Index,Unmatched (Index),Corner family,E74 Group,,,,C,Unmatched Index Entry
Index,Unmatched (Index),Correggio,E21 Person,,,,C,Unmatched Index Entry
Index,Unmatched (Index),Corsini family,E74 Group,,,,C,Unmatched Index Entry
Index,Unmatched (Index),"Corsini, Lorenzo (Pope Clement XII)",E21 Person,,,,C,Unmatched Index Entry
Index,Unmatched (Index),"Corsini, Marchese Filippo",E22 Man-Made Object,,,,C,Unmatched Index Entry
Index,Unmatched (Index),"Cortese, Giacomo and Guglielmo",E21 Person,,,,C,Unmatched Index Entry
Index,Unmatched (Index),"Costaguti, Marchese",E22 Man-Made Object,,,,C,Unmatched Index Entry
Index,Unmatched (Index),"Courtois, Jacques and Guillaume",E21 Person,,,,C,Unmatched Index Entry
Index,Unmatched (Index),Cremonese,E74 Group,,,,C,Unmatched Index Entry
Index,Unmatched (Index),"Crequi, Duc de",E21 Person,,,,C,Unmatched Index Entry
Index,Unmatched (Index),"Crescenzi, Pietro Paolo",E21 Person,,,,C,Unmatched Index Entry
Index,Unmatched (Index),"Critics, Roman",E21 Person,,,,C,Unmatched Index Entry
Index,Unmatched (Index),"Croissy, M. de",E21 Person,,,,C,Unmatched Index Entry
Index,Unmatched (Index),"Curli, Girolamo",E21 Person,,,,C,Unmatched Index Entry
Index,Unmatched (Index),Customs duty on pictures,E28 Conceptual Object,,,,C,Unmatched Index Entry
Index,Unmatched (Index),Dante,E21 Person,,,,D,Unmatched Index Entry
Index,Unmatched (Index),"Dartmouth, Lord",E21 Person,,,,D,Unmatched Index Entry
Index,Unmatched (Index),"Dati, Carlo",E21 Person,,,,D,Unmatched Index Entry
Index,Unmatched (Index),"Daun, Count",E21 Person,,,,D,Unmatched Index Entry
Index,Unmatched (Index),"Devonshire, Duke of",E21 Person,,,,D,Unmatched Index Entry
Index,Unmatched (Index),"Dietrich, Christian",E21 Person,,,,D,Unmatched Index Entry
Index,Unmatched (Index),Dolfin family,E74 Group,,,,D,Unmatched Index Entry
Index,Unmatched (Index),"Dolfin, Daniele (Archbishop of Udine)",E22 Man-Made Object,,,,D,Unmatched Index Entry
Index,Unmatched (Index),"Dolfin, Daniele III",E21 Person,,,,D,Unmatched Index Entry
Index,Unmatched (Index),"Dolfin, Daniele IV",E21 Person,,,,D,Unmatched Index Entry
Index,Unmatched (Index),Domenichino (Domenico Zampieri),E21 Person,,,,D,Unmatched Index Entry
Index,Unmatched (Index),"Dominici, Bernardo de",E21 Person,,,,D,Unmatched Index Entry
Index,Unmatched (Index),"Dorigny, Louis",E21 Person,,,,D,Unmatched Index Entry
Index,Unmatched (Index),"Douglas, Hamilton, Marquis of",E21 Person,,,,D,Unmatched Index Entry
Index,Unmatched (Index),Dresden,E53 Place,,,,D,Unmatched Index Entry
Index,Unmatched (Index),"Dubois, Ambrose",E21 Person,,,,D,Unmatched Index Entry
Index,Unmatched (Index),"Dughet, Gaspard (Gaspard Poussin)",E21 Person,,,,D,Unmatched Index Entry
Index,Unmatched (Index),"Duquesnoy, François",E21 Person,,,,D,Unmatched Index Entry
Index,Unmatched (Index),"Durazzo, Marchese Girolamo",E22 Man-Made Object,,,,D,Unmatched Index Entry
Index,Unmatched (Index),Dusseldorf,E53 Place,,,,D,Unmatched Index Entry
Index,Unmatched (Index),Dutch artists,E74 Group,,,,D,Unmatched Index Entry
Index,Unmatched (Index),"Duyvelant, Jacques",E21 Person,,,,D,Unmatched Index Entry
Index,Unmatched (Index),"Effetti, Antonio degli",E21 Person,,,,E,Unmatched Index Entry
Index,Unmatched (Index),"Emo, Procurator",E21 Person,,,,E,Unmatched Index Entry
Index,Unmatched (Index),English patronage,E28 Conceptual Object,,,,E,Unmatched Index Entry
Index,Unmatched (Index),English tourists in Italy,E28 Conceptual Object,,,,E,Unmatched Index Entry
Index,Unmatched (Index),Enlightenment in Italy,E28 Conceptual Object,,,,E,Unmatched Index Entry
Index,Unmatched (Index),"Erlach, Fischer von",E21 Person,,,,E,Unmatched Index Entry
Index,Unmatched (Index),"Essex, Lord",E21 Person,,,,E,Unmatched Index Entry
Index,Unmatched (Index),"Este, Azzo, Marchese d'",E22 Man-Made Object,,,,E,Unmatched Index Entry
Index,Unmatched (Index),"Este, Isabella d'",E21 Person,,,,E,Unmatched Index Entry
Index,Unmatched (Index),"Estrées, Duc d'",E21 Person,,,,E,Unmatched Index Entry
Index,Unmatched (Index),"Eugene, Prince",E21 Person,,,,E,Unmatched Index Entry
Index,Unmatched (Index),"Exeter, 5th Lord",E21 Person,,,,E,Unmatched Index Entry
Index,Unmatched (Index),"Facciolati, Abate",E21 Person,,,,F,Unmatched Index Entry
Index,Unmatched (Index),Fantasy and reason,E28 Conceptual Object,,,,F,Unmatched Index Entry
Index,Unmatched (Index),Farnese Palace,E22 Man-Made Object,,,,F,Unmatched Index Entry
Index,Unmatched (Index),"Farnese, Cardinal Alessandro",E21 Person,,,,F,Unmatched Index Entry
Index,Unmatched (Index),"Farnese, Odoardo, Duke of Parma",E21 Person,,,,F,Unmatched Index Entry
Index,Unmatched (Index),"Farnese, Ranuccio II, Duke of Parma",E21 Person,,,,F,Unmatched Index Entry
Index,Unmatched (Index),"Farsetti, Daniele",E21 Person,,,,F,Unmatched Index Entry
Index,Unmatched (Index),"Fedini, Domenico",E21 Person,,,,F,Unmatched Index Entry
Index,Unmatched (Index),Ferrara,E53 Place,,,,F,Unmatched Index Entry
