Subject,Subject QID,Predicate,Object,Object QID,Source_Raw
"Cimaroli, Giovan Battista",/,sponsored,share in McSwiny British Worthies,/,289
"Cimaroli, Giovan Battista",/,sponsored,(possibly) Lord Stanhope,/,289
Claude Lorrain,/,collaborated_on,Lorenzo Onofrio Colonna,/,293
Claude Lorrain,/,collaborated_on,Camillo Massimi,/,294
Claude Lorrain,/,collaborated_on,King of Spain,/,295
Claude Lorrain,/,collaborated_on,Pope Urban VIII,/,296
Claude Lorrain,/,sponsored,Argus guarding Io,/,297
Claude Lorrain,/,sponsored,Ascanius shooting the Stag of Sylvia,/,298
Claude Lorrain,/,sponsored,Castel Gandolfo,/,299
Claude Lorrain,/,sponsored,Coast View with Apollo,/,300
Claude Lorrain,/,sponsored,Coast View with the Cumaean Sibyl,/,300
Claude Lorrain,/,sponsored,Coast View with Perseus,/,301
Claude Lorrain,/,sponsored,Coast View with the Origin of Coral,/,301
Claude Lorrain,/,sponsored,Enchanted Castle,/,302
Claude Lorrain,/,sponsored,Flight into Egypt,/,303
Landing of Aeneas in Latium,/,located_in,Latium,/,304
Claude Lorrain,/,sponsored,Landing of Aeneas in Latium,/,304
Claude Lorrain,/,sponsored,Landscape with the Flight into Egypt,/,305
Claude Lorrain,/,sponsored,Landscape with Rural Dance,/,306
Claude Lorrain,/,sponsored,payment,/,307
Claude Lorrain,/,sponsored,Sacrifice to Apollo,/,308
Claude Lorrain,/,sponsored,Santa Marinella,/,309
Claude Lorrain,/,sponsored,Seaports,/,310
Claude Lorrain,/,sponsored,Storm at Sea,/,311
Claude Lorrain,/,created,View of Delphi,/,312
"Clement VIII, Pope",/,refer_to,"Aldobrandini, Ippolito",/,315
"Clement IX, Pope",/,refer_to,"Rospigliosi, Giulio",/,316
"Clement X, Pope",/,refer_to,"Altieri, Emilio",/,317
"Clement XI, Pope",/,refer_to,"Albani, Gianfrancesco",/,318
"Clement XII, Pope",/,refer_to,"Corsini, Lorenzo",/,319
"Clement XIII, Pope",/,refer_to,"Rezzonico, Carlo",/,320
Clerici Palace,/,located_in,Milan,/,321
"Codazzi, Viviano",/,sponsored,Arrival at the Palace (with Cerquozzi),/,326
"Codazzi, Viviano",/,sponsored,Pool of Bethesda (with M. Spadaro),/,327
Woman taken in Adultery (with M. Spadaro),/,located_in,Adultery (with M. Spadaro,/,328
"Codazzi, Viviano",/,sponsored,Woman taken in Adultery (with M. Spadaro),/,328
"Codazzi, Viviano",/,sponsored,Women's Bath (with Cerquozzi),/,329
frescoes of Battle of Lepanto in Colonna palace,/,located_in,Colonna palace,/,334
"Coli, Giovanni",/,created,frescoes of Battle of Lepanto in Colonna palace,/,334
"Colonna, Prince Francesco",/,sponsored,sale of Castle of Roviano to C. Barberini,/,339
"Colonna, Lorenzo Onofrio",/,sponsored,employment of Claude,/,343
"Colonna, Lorenzo Onofrio",/,sponsored,liking for mythological fables,/,344
"Colonna, Lorenzo Onofrio",/,sponsored,liking for landscapes,/,344
Colonna palace,/,located_in,Rome,/,346
Colonna palace,/,located_in,Rome,/,347
Colonna palace,/,sponsored,sale to Cardinal Flavio Chigi,/,347
Congregazione dei Virtuosi,/,located_in,Rome,/,352
Contarini family,/,located_in,Venice,/,355
Contarini villa,/,located_in,Mira,/,356
"Conti, Antonio",/,collaborated_on,Francesco Algarotti,/,358
"Conti, Antonio",/,collaborated_on,Sir Isaac Newton,/,359
"Conti, Antonio",/,sponsored,defence of fantasy in painting,/,360
"Conti, Antonio",/,sponsored,election to Royal Society,/,361
"Conti, Antonio",/,sponsored,treatise on painting,/,362
"Conti, Michaelangelo",/,is,Pope Innocent XIII,/,363
"Conti, Stefano",/,sponsored,documents relating to commissions to M. Franceschini and F. Torelli,/,365
"Contini, Giovanni Battista",/,sponsored,Buonaccorsi palace (Macerata),/,367
Contracts,/,sponsored,measurements of works,/,369
Contracts,/,sponsored,price,/,370
Contracts,/,sponsored,subject,/,371
Contracts,/,sponsored,time limit,/,372
"Corner, Flaminio",/,collaborated_on,Angeli,/,376
"Corner, Flaminio",/,sponsored,interest in church architecture,/,377
Corner family,/,located_in,Venice,/,378
Corner family,/,located_in,Venice,/,379
Corner family,/,sponsored,patronage of Tiepolo,/,379
"Corradini, Antonio",/,created,statue of Field Marshal Schulenburg,/,381
"Corradini, Antonio",/,sponsored,Virginity,/,382
Correggio,/,sponsored,Christ in the Garden of Olives,/,384
Correggio,/,sponsored,Jupiter,/,385
