Subject,Subject QID,Predicate,Object,Object QID,Source_Raw
relief in St Peter's of Christ entrusting His flock to St Peter,/,located_in,St Peter,/,176
"Bernini, Gian Lorenzo",/,sponsored,relief in St Peter's of Christ entrusting His flock to St Peter,/,176
"Bernini, Gian Lorenzo",/,sponsored,resolution against by municipal authorities of Rome,/,177
"St Teresa, in S. Maria della Vittoria",/,located_in,S. Maria della Vittoria,/,178
"Bernini, Gian Lorenzo",/,sponsored,"St Teresa, in S. Maria della Vittoria",/,178
"Bernini, Gian Lorenzo",/,sponsored,Time unveiling Truth,/,179
"Bernini, Gian Lorenzo",/,created,tomb of Alexander VII,/,180
"Bernini, Gian Lorenzo",/,created,tomb of Countess Matilda,/,181
"Bernini, Gian Lorenzo",/,created,tomb of Urban VIII,/,182
"Bernini, Gian Lorenzo",/,sponsored,varying fortunes of,/,183
"Bernini, Gian Lorenzo",/,sponsored,visit to Paris,/,184
"Bernini, Gian Lorenzo",/,sponsored,visit to Paris,/,185
"Bernini, Gian Lorenzo",/,sponsored,French opposition to,/,185
"Bernini, Gian Lorenzo",/,created,work in reign of Alexander VII,/,186
"Berrettini, Pietro",/,is,Pietro da Cortona,/,190
"Berrettini, Pietro",/,is,Pietro da Cortona,/,191
"Berrettini, Pietro",/,sponsored,Adoration of the Trinity,/,191
"Berrettini, Pietro",/,is,Pietro da Cortona,/,192
"Berrettini, Pietro",/,sponsored,Allegory of Coral Fishing,/,192
"Berrettini, Pietro",/,is,Pietro da Cortona,/,193
"altar in Chapel of S. Ignatius, Gesù",/,located_in,"Chapel of S. Ignatius, Ges",/,193
"Berrettini, Pietro",/,sponsored,"altar in Chapel of S. Ignatius, Gesù",/,193
"Berrettini, Pietro",/,is,Pietro da Cortona,/,194
"Berrettini, Pietro",/,sponsored,Angels carrying the Instruments of the Passion,/,194
"Berrettini, Pietro",/,is,Pietro da Cortona,/,195
"Berrettini, Pietro",/,sponsored,Assumption of the Virgin,/,195
"Berrettini, Pietro",/,is,Pietro da Cortona,/,196
"Berrettini, Pietro",/,sponsored,Caesar restoring Cleopatra to her usurped Throne,/,196
