Source_Side,Status,Index_Entry,CIDOC_Type,Manual_Name,Manual_QID,Match_Type,File_Code,Extraction_Reason,Formal_Full_Name,Normalization_Category
Index,Unmatched (Index),"Chiarini, Marcantonio",E21 Person,,,,C,Unmatched Index Entry,Marcantonio Chiarini,Person
Index,Unmatched (Index),"Chigi, Agostino 'il Magnifico'",E21 Person,,,,C,Unmatched Index Entry,Agostino 'il Magnifico' Chigi,Person
Index,Unmatched (Index),"Chigi, Agostino (nephew to Alexander VII)",E21 Person,,,,C,Unmatched Index Entry,Agostino Chigi,Person
Index,Unmatched (Index),"Chigi, Cardinal Flavio (nephew to Pope Alexander VII)",E21 Person,,,,C,Unmatched Index Entry,Flavio Chigi,Person
Index,Unmatched (Index),"Chigi, Don Mario (brother to Pope Alexander VII)",E21 Person,,,,C,Unmatched Index Entry,Mario Chigi,Person
Index,Unmatched (Index),"Chigi, Fabio (Pope Alexander VII)",E21 Person,,,,C,Unmatched Index Entry,Fabio Chigi,Person
Index,Unmatched (Index),"Christina, Queen of Sweden",E21 Person,,,,C,Unmatched Index Entry,Of Sweden Christina,Person
Index,Unmatched (Index),Churches,E22 Man-Made Object,,,,C,Unmatched Index Entry,Churches,Work
Index,Unmatched (Index),Churches of religious orders,E22 Man-Made Object,,,,C,Unmatched Index Entry,Churches of religious orders,Work
Index,Unmatched (Index),Cibo palace,E22 Man-Made Object,,,,C,Unmatched Index Entry,Palazzo Cibo,Place (Reclassified)
Index,Unmatched (Index),"Cimaroli, Giovan Battista",E21 Person,,,,C,Unmatched Index Entry,Giovan Battista Cimaroli,Person
Index,Unmatched (Index),Cinelli,E21 Person,,,,C,Unmatched Index Entry,Cinelli,Person
Index,Unmatched (Index),"Città di Castello, Matteo da",E21 Person,,,,C,Unmatched Index Entry,Matteo da Città di Castello,Person
Index,Unmatched (Index),"Clemens August, Archbishop-Elector of Cologne",E22 Man-Made Object,,,,C,Unmatched Index Entry,Of Cologne Clemens August,Person (Reclassified)
Index,Unmatched (Index),"Clement VIII, Pope",E21 Person,,,,C,Unmatched Index Entry,Clement VIII,Person
Index,Unmatched (Index),"Clement XII, Pope",E21 Person,,,,C,Unmatched Index Entry,Clement XII,Person
Index,Unmatched (Index),"Clement XIII, Pope",E21 Person,,,,C,Unmatched Index Entry,Clement XIII,Person
Index,Unmatched (Index),"Clement, Abbé",E21 Person,,,,C,Unmatched Index Entry,Abbé Clement,Person
Index,Unmatched (Index),Clerici Palace,E22 Man-Made Object,,,,C,Unmatched Index Entry,Palazzo Clerici,Place (Reclassified)
Index,Unmatched (Index),"Clostermann, John",E21 Person,,,,C,Unmatched Index Entry,John Clostermann,Person
Index,Unmatched (Index),"Coke, Mr",E21 Person,,,,C,Unmatched Index Entry,Coke,Person
Index,Unmatched (Index),"Cole, Christian",E21 Person,,,,C,Unmatched Index Entry,Christian Cole,Person
Index,Unmatched (Index),Colonna palace,E22 Man-Made Object,,,,C,Unmatched Index Entry,Palazzo Colonna,Place (Reclassified)
Index,Unmatched (Index),"Colonna, Don Giuliano",E21 Person,,,,C,Unmatched Index Entry,Giuliano Colonna,Person
Index,Unmatched (Index),"Colonna, Filippo",E21 Person,,,,C,Unmatched Index Entry,Filippo Colonna,Person
Index,Unmatched (Index),"Colonna, Marc'Antonio",E21 Person,,,,C,Unmatched Index Entry,Marc'Antonio Colonna,Person
Index,Unmatched (Index),"Colonna, Prince Francesco",E21 Person,,,,C,Unmatched Index Entry,Francesco Colonna,Person
Index,Unmatched (Index),Competitions,E28 Conceptual Object,,,,C,Unmatched Index Entry,Competitions,Work
Index,Unmatched (Index),"Concina, Padre Daniele",E21 Person,,,,C,Unmatched Index Entry,Padre Daniele Concina,Person
Index,Unmatched (Index),Congregazione dei Virtuosi,E74 Group,,,,C,Unmatched Index Entry,Congregazione dei Virtuosi,Place
Index,Unmatched (Index),Contarini family,E74 Group,,,,C,Unmatched Index Entry,Contarini family,Place
Index,Unmatched (Index),Contarini villa,E22 Man-Made Object,,,,C,Unmatched Index Entry,Villa Contarini,Place (Reclassified)
Index,Unmatched (Index),"Contarini, Pietro",E21 Person,,,,C,Unmatched Index Entry,Pietro Contarini,Person
Index,Unmatched (Index),"Conti, Antonio",E21 Person,,,,C,Unmatched Index Entry,Antonio Conti,Person
Index,Unmatched (Index),"Conti, Michaelangelo (Pope Innocent XIII)",E21 Person,,,,C,Unmatched Index Entry,Michaelangelo Conti,Person
Index,Unmatched (Index),Contracts,E28 Conceptual Object,,,,C,Unmatched Index Entry,Contracts,Work
Index,Unmatched (Index),Corner family,E74 Group,,,,C,Unmatched Index Entry,Corner family,Place
