序号,主体 (Subject),主体 QID,谓语 (Predicate),客体 (Object),客体 QID,Source_Row
42,Aedes Barberinae,/,is located in,Rome,/,13
43,Aedes Barberinae,/,published in,1642,/,13
44,Aedes Barberinae,/,is located in,Quirinalem,/,13
45,Rape of the Sabines,/,created,Pietro da Cortona,Q333323,14
46,Rape of the Sabines,/,is located in,Pinacoteca Capitolina,/,14
47,Pinacoteca Capitolina,/,is located in,Rome,/,14
48,Rape of Helen,/,created,Pietro da Cortona,Q333323,15
49,Rape of Helen,/,is located in,Ufficio dell’Assessore Comunale alle Belle Arti,Q109927986,15
50,Ufficio dell’Assessore Comunale alle Belle Arti,/,is located in,Rome,/,15
51,Meeting of Esau and Jacob,/,created,Gio. Maria Bottalla,Q10289899,16
52,Meeting of Esau and Jacob,/,is located in,Pinacoteca Capitolina,/,16
53,Pinacoteca Capitolina,/,is located in,Rome,/,16
54,Joseph Sold by his Brothers,Q59710099,created,Pietro Testa,Q2155480,17
55,Joseph Sold by his Brothers,Q59710099,is located in,Pinacoteca Capitolina,/,17
56,Pinacoteca Capitolina,/,is located in,Rome,/,17
57,Allegory of Divine Wisdom,Q111821593,created,Andrea Sacchi,Q495008,18
58,Allegory of Divine Wisdom,Q111821593,is located in,Palazzo Barberini,Q1136614,18
59,Palazzo Barberini,/,is located in,Rome,/,18
60,Glorification of the Reign of Urban VIII,/,created,Pietro da Cortona,Q333323,19
61,Glorification of the Reign of Urban VIII,/,is located in,Palazzo Barberini,Q1136614,19
62,Palazzo Barberini,/,is located in,Rome,/,19
63,Triumph of The Name of Jesus,Q54647365,created,Giovanni Battista Gaulli,Q520573,20
64,Triumph of The Name of Jesus,Q54647365,is located in,Gesù,/,20
65,Gesù,/,is located in,Rome,/,20
66,Modello for fresco on vault of S. Ignazio,/,is located in,Rome,/,21
67,Modello for fresco on vault of S. Ignazio,/,created,Andrea Pozzo,Q380103,21
68,Modello for fresco on vault of S. Ignazio,/,is located in,Galleria Nazionale,Q772890,21
69,Galleria Nazionale,/,is located in,Rome,/,21
70,Modello for fresco on vault of S. Ignazio,/,is preparatory for,fresco on vault of S. Ignazio,/,21
71,fresco on vault of S. Ignazio,/,is located in,Rome,/,21
72,fresco on vault of S. Ignazio,/,is located in,vault of S. Ignazio,/,21
73,Interior of S. Andrea al Quirinale,/,is located in,Rome,/,22
74,Interior of S. Andrea,/,created,Bernini,Q712397,22
75,Interior of S. Andrea,/,is located in,Quirinale,/,22
76,Interior of S. Andrea,/,depicts,S. Andrea al Quirinale,/,22
77,S. Andrea al Quirinale,/,is located in,Rome,/,22
78,S. Andrea al Quirinale,/,is located in,Quirinale,/,22
79,Caricature of Cassiano dal Pozzo,/,created,Bernini,Q712397,23
80,Caricature of Cassiano dal Pozzo,/,is located in,Museum Boy mans—van 104 Beuningen,/,23
81,Museum Boy mans—van 104 Beuningen,/,is located in,Rotterdam,/,23
82,Vincenzo Giustiniani,Q4013311,created,Claude Mellan,Q1274026,24
83,"Paolo Giordano Orsini, Duke of Bracciano",/,created,Ottavio Leoni,Q389768,25
84,"Paolo Giordano Orsini, Duke of Bracciano",/,depicts,Paolo Giordano Orsini,/,25
85,"Paolo Giordano Orsini, Duke of Bracciano",/,has title role,Duke of Bracciano,/,25
86,Rest,Q60469737,created,Pietro Testa,Q2155480,26
87,Rest,Q60469737,is located in,the Flight into Egypt,/,26
