序号,Index_Main Entry,Index_Location,Index_Sub-entry,Index_Detail
238,Book illustration,Venice,in the 18th century,
239,"Bordone, Paris",,,
240,"Bordoni, Francesco",,,
241,"Borghese, Camillo (Pope Paul V)",,,
242,"Borghese, Cardinal Scipione",,,
243,"Borghese, Cardinal Scipione",,Bernini busts of,
244,"Borghese, Cardinal Scipione",,collection,
245,"Borghese, Cardinal Scipione",,confiscation of d'Arpino pictures,
246,Borghese Palace,Rome,,
247,"Borgognone, Giacomo (Jacques Courtois)",,,
248,"Borgognone, Giacomo (Jacques Courtois)",,drawings for tribune of Gesù,
249,"Borgognone, Guglielmo (Guillaume Courtois)",,,
250,"Borgognone, Guglielmo (Guillaume Courtois)",,Martyrdom of St Andrew,
251,"Borromeo, Cardinal Federico",,,
252,"Borromini, Francesco",,,
253,"Borromini, Francesco",,and Oratorians,
254,"Borromini, Francesco",,and Pope Innocent X,
255,"Borromini, Francesco",,Scalzi church in Rome,
256,"Borromini, Francesco",,work on the Oratorio,
257,"Borromini, Francesco",,work on Spada palace,
258,"Borzone, Francesco",,,
259,"Boscarati, Felice",,,
260,"Boschini, Marco",,,
261,"Boschini, Marco",,Ricche Miniere,
262,"Boscovich, P.",,,
263,"Bossuet, Jacques-Bénigne",,,
264,"Both, Jan",,,
265,"Bottari, Giovanni",,,
266,"Botti, Francesco",,,
267,"Bouchard, Jean-Jacques",,,
268,"Bouchardon, Edmé",,,
269,"Boucher, François",,,
270,"Boucher, François",,and Count Tessin,
271,"Boucher, François",,designs for Tombeaux des Princes,
272,"Bracci, Pietro",,,
273,"Bracci, Pietro",,Annunciation,
274,"Bracciano, Duke of",,,
275,"Bracciano, Paolo Giordano I Orsini, Duke of",,,
276,"Bracciano, Paolo Giordona II Orsini, Duke of",,,
277,"Bracciano, Paolo Giordona II Orsini, Duke of",,and Claude,
278,"Bracciano, Paolo Giordona II Orsini, Duke of",,and van den Hecke,
279,"Bracciano, Paolo Giordona II Orsini, Duke of",,and Pietro Tacca,
280,"Bracciano, Paolo Giordona II Orsini, Duke of",,and Podestà,
281,"Bracciano, Paolo Giordona II Orsini, Duke of",,"Bernini head, medal, and bust",
282,"Bracciano, Paolo Giordona II Orsini, Duke of",,commissions to Bernini and Tacca,
283,"Bracciano, Paolo Giordona II Orsini, Duke of",,correspondence with Queen Christina of Sweden,
284,"Bracciano, Paolo Giordona II Orsini, Duke of",,Leoni etching,
285,"Bracciano, Paolo Giordona II Orsini, Duke of",,love of music and spectacle,
286,"Bracciano, Paolo Giordona II Orsini, Duke of",,medal collecting,
287,"Bracciano, Paolo Giordona II Orsini, Duke of",,poetry,
288,"Bracciolini, Francesco",,,
289,"Bracciolini, Francesco",,L'elettione di Urbano VIII,
290,"Bracciolini, Francesco",,plan for ceiling in Barberini palace,
291,"Bramante, Donato",,,
292,"Bramer, Leonard",,,
293,"Brand, Johannes Christian",,,
294,"Brandi, Giacinto",,,
295,"Brandi, Giacinto",,letters relating to S. Andrea al Quirinale altarpieces,
296,"Breughel, Abram",,,
297,"Breughel, Velvet",,,
298,"Breuil, Toussaint du",,,
299,"Breval, John",,,
300,"Brienne, Lomenie de",,,
301,"Brill, Paul",,,
302,"Brosse, Salomon de",,,
303,"Brosses, Président Charles De",,,
304,"Brugiori, Domenico",,,
305,"Brugiori, Domenico",,Cain and Abel,
306,"Brühl, Count",,,
307,"Brunelleschi, Filippo",,,
308,"Brusasorci, Felice",,,
309,"Brusoni, Girolamo",,,
310,"Brusoni, Girolamo",,Allori d'Eurota,
311,"Brustolon, Andrea",,,
312,"Brydges, Grey",,"see under Chandos, Lord",
313,"Buckingham, Charles Villiers, Duke of",,,
314,"Buckingham, John Sheffield, Duke of",,,
315,"Buonaccorsi, Count Orlando",,,
316,"Buonaccorsi, Raimondo",,,
317,"Buonaccorsi, Raimondo",,commissioning of paintings of stories from the Aeneid,
318,"Buonaccorsi, Cardinal Simone",,,
319,"Burlington, Lord",,,
320,"Burlington, Lord",,house at Chiswick,
321,"Burnacini, Lodovico Ottavio",,,
322,"Burrini, Giovanni Antonio",,,
323,"Bussi, Francesca",,,
324,"Byng, Admiral",,,
